36,37,38,31,27,B,D,E,F,G,A,L,50,52,DS1,DS2
36,0,50,29,40,29,45,56,44,32,78,38,61,77,71,45,34
37,50,0,51,19,56,40,55,29,25,68,87,68,82,28,61,92
38,29,51,0,34,91,72,76,94,69,76,46,46,42,76,40,69
31,40,19,34,0,10,45,42,39,21,70,67,51,54,69,34,56
27,29,56,91,10,0,26,42,77,9,60,76,52,32,39,49,44
B,45,40,72,45,26,0,57,34,5,71,29,84,62,32,20,51
D,56,55,76,42,42,57,0,67,54,59,12,55,85,33,14,49
E,44,29,94,39,77,34,67,0,24,41,40,61,40,35,44,75
F,32,25,69,21,9,5,54,24,0,67,37,50,20,60,39,28
G,78,68,76,70,60,71,59,41,67,0,69,50,57,30,8,66
A,38,87,46,67,76,29,12,40,37,69,0,26,64,55,60,32
L,61,68,46,51,52,84,55,61,50,50,26,0,50,75,43,18
50,77,82,42,54,32,62,85,40,20,57,64,50,0,57,20,38
52,71,28,76,69,39,32,33,35,60,30,55,75,57,0,61,55
DS1,45,61,40,34,49,20,14,44,39,8,60,43,20,61,0,20
DS2,34,92,69,56,44,51,49,75,28,66,32,18,38,55,20,0
