25,36,37,38,31,27,51,B,D,F,G,A,L,50,52,DS1,DS2,N
25,0,81,59,30,28,28,29,82,62,85,38,10,81,66,86,53,33,20
36,81,0,46,40,53,44,19,48,72,51,46,57,76,61,40,45,69,73
37,59,46,0,46,51,11,38,36,69,25,56,38,49,36,47,67,51,41
38,30,40,46,0,43,62,32,40,52,49,32,12,67,86,59,70,52,63
31,28,53,51,43,0,12,75,62,62,43,30,54,50,20,42,65,40,80
27,28,44,11,62,12,0,46,11,29,42,54,64,56,55,42,35,54,14
51,29,19,38,32,75,46,0,89,55,31,51,46,51,24,27,59,80,69
B,82,48,36,40,62,11,89,0,55,51,87,53,12,65,58,45,51,74
D,62,72,69,52,62,29,55,55,0,59,75,46,28,82,65,51,44,39
F,85,51,25,49,43,42,31,51,59,0,40,60,21,59,86,35,86,45
G,38,46,56,32,30,54,51,87,75,40,0,56,47,59,66,48,39,39
A,10,57,38,12,54,64,46,53,46,60,56,0,15,34,68,36,55,62
L,81,76,49,67,50,56,51,12,28,21,47,15,0,63,65,53,38,56
50,66,61,36,86,20,55,24,65,82,59,59,34,63,0,39,41,59,32
52,86,40,47,59,42,42,27,58,65,86,66,68,65,39,0,26,6,50
DS1,53,45,67,70,65,35,59,45,51,35,48,36,53,41,26,0,40,29
DS2,33,69,51,52,40,54,80,51,44,86,39,55,38,59,6,40,0,46
N,20,73,41,63,80,14,69,74,39,45,39,62,56,32,50,29,46,0
