25,36,37,38,31,27,51,B,D,F,G,A,L,50,52,DS1,DS2,N
25,0,71,33,16,24,49,51,56,48,30,34,38,56,8,38,36,79,39
36,71,0,27,43,88,51,25,27,68,68,67,53,8,58,56,34,71,23
37,33,27,0,44,37,43,48,50,75,77,93,59,37,41,64,40,85,37
38,16,43,44,0,59,29,58,45,40,63,47,52,38,52,56,76,17,35
31,24,88,37,59,0,39,70,39,64,45,87,10,61,57,22,74,49,5
27,49,51,43,29,39,0,67,35,47,25,65,42,48,90,27,48,58,9
51,51,25,48,58,70,67,0,34,22,59,20,22,40,43,62,63,39,35
B,56,27,50,45,39,35,34,0,54,25,84,69,33,45,78,34,75,71
D,48,68,75,40,64,47,22,54,0,59,62,65,11,29,89,43,31,26
F,30,68,77,63,45,25,59,25,59,0,84,91,32,31,43,79,65,40
G,34,67,93,47,87,65,20,84,62,84,0,72,61,30,25,14,78,51
A,38,53,59,52,10,42,22,69,65,91,72,0,12,18,59,68,17,90
L,56,8,37,38,61,48,40,33,11,32,61,12,0,53,42,47,94,82
50,8,58,41,52,57,90,43,45,29,31,30,18,53,0,58,32,74,65
52,38,56,64,56,22,27,62,78,89,43,25,59,42,58,0,50,45,25
DS1,36,34,40,76,74,48,63,34,43,79,14,68,47,32,50,0,18,20
DS2,79,71,85,17,49,58,39,75,31,65,78,17,94,74,45,18,0,64
N,39,23,37,35,5,9,35,71,26,40,51,90,82,65,25,20,64,0
