r36,r37,r38,r31,r27,rB,rD,rE,rF,rG,rA,rL,r50,r52,rDS1,rDS2
r36,0,75,13,58,80,80,21,66,53,77,56,83,45,64,66,62
r37,75,0,40,61,73,47,8,43,35,67,85,26,20,19,49,75
r38,13,40,0,81,61,55,37,54,58,79,69,58,50,58,10,39
r31,58,61,81,0,73,51,53,76,58,55,52,23,43,42,66,61
r27,80,73,61,73,0,42,47,63,42,56,82,31,79,29,73,53
rB,80,47,55,51,42,0,87,64,56,41,63,63,50,82,8,64
rD,21,8,37,53,47,87,0,24,46,76,77,51,75,63,26,37
rE,66,43,54,76,63,64,24,0,40,50,59,21,52,24,61,53
rF,53,35,58,58,42,56,46,40,0,31,65,31,41,39,24,60
rG,77,67,79,55,56,41,76,50,31,0,38,50,18,44,34,72
rA,56,85,69,52,82,63,77,59,65,38,0,54,55,4,22,33
rL,83,26,58,23,31,63,51,21,31,50,54,0,48,80,69,88
r50,45,20,50,43,79,50,75,52,41,18,55,48,0,88,66,47
r52,64,19,58,42,29,82,63,24,39,44,4,80,88,0,83,48
rDS1,66,49,10,66,73,8,26,61,24,34,22,69,66,83,0,8
rDS2,62,75,39,61,53,64,37,53,60,72,33,88,47,48,8,0
